age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
30,services,single,secondary,no,-143,yes,no,cellular,15,may,85,1,-1,0,unknown,no
46,management,single,tertiary,no,2044,no,no,telephone,4,feb,25,1,-1,0,unknown,no
46,management,married,secondary,no,149,no,no,cellular,21,nov,1222,2,-1,0,unknown,yes
54,self-employed,married,primary,no,0,no,yes,telephone,9,jul,130,2,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,640,yes,no,cellular,11,may,321,2,-1,0,unknown,no
46,blue-collar,married,secondary,no,640,yes,no,cellular,11,sep,108,2,129,2,failure,yes
31,technician,single,secondary,no,1970,no,no,telephone,17,apr,284,3,-1,0,unknown,no
30,management,single,tertiary,no,5561,yes,no,cellular,19,nov,511,1,-1,0,unknown,yes
30,admin.,single,secondary,no,28,no,no,unknown,20,aug,107,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,160,yes,yes,unknown,26,jun,190,1,-1,0,unknown,no
31,management,single,tertiary,no,12857,yes,no,telephone,4,may,483,4,87,2,success,yes
37,technician,married,secondary,no,480,no,no,cellular,22,oct,344,2,182,8,other,yes
38,management,married,unknown,no,3576,no,no,cellular,26,may,579,1,-1,0,unknown,yes
56,management,divorced,tertiary,no,310,no,no,unknown,20,jun,75,4,-1,0,unknown,no
34,admin.,married,tertiary,no,142,yes,no,cellular,13,may,459,1,-1,0,unknown,yes
56,management,married,secondary,no,230,no,no,unknown,9,may,73,4,-1,0,unknown,no
28,services,single,secondary,no,339,no,no,cellular,3,dec,350,1,182,1,success,yes
52,admin.,divorced,secondary,no,363,yes,no,cellular,21,aug,168,1,462,1,success,yes
55,blue-collar,divorced,secondary,no,7378,no,no,unknown,14,may,316,3,-1,0,unknown,no
28,management,single,tertiary,no,939,yes,no,unknown,27,may,740,1,-1,0,unknown,yes
35,admin.,married,secondary,no,2374,yes,no,cellular,11,aug,765,2,183,5,success,yes
50,admin.,divorced,secondary,no,237,no,yes,telephone,5,nov,169,1,-1,0,unknown,yes
34,blue-collar,married,primary,no,3986,yes,no,cellular,17,apr,345,2,-1,0,unknown,no
38,self-employed,married,secondary,no,215,yes,no,cellular,20,nov,70,1,167,1,failure,no
36,management,single,secondary,no,0,no,no,cellular,13,aug,333,5,-1,0,unknown,no
27,student,single,secondary,no,2614,no,no,cellular,8,apr,143,2,-1,0,unknown,yes
50,technician,married,secondary,no,778,no,no,cellular,23,jul,16,1,-1,0,unknown,no
59,retired,single,secondary,no,2,no,no,telephone,2,feb,935,1,-1,0,unknown,yes
30,technician,single,secondary,no,1165,no,no,cellular,4,jun,204,2,183,3,success,yes
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,yes
30,management,single,tertiary,no,398,no,no,cellular,24,apr,235,2,-1,0,unknown,yes
34,management,married,tertiary,no,589,no,no,cellular,1,sep,300,1,44,3,other,yes
34,services,married,secondary,no,1637,yes,no,cellular,21,nov,107,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,aug,352,1,828,2,failure,yes
24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes
45,technician,single,tertiary,no,0,no,no,cellular,18,aug,773,4,-1,0,unknown,yes
52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,534,1,-1,0,unknown,yes
20,student,single,unknown,no,801,no,no,cellular,11,nov,244,2,-1,0,unknown,yes
41,technician,divorced,secondary,no,75,no,no,cellular,20,aug,351,2,-1,0,unknown,no
42,management,married,tertiary,no,3713,no,no,cellular,19,nov,709,2,-1,0,unknown,yes
36,admin.,single,secondary,no,8785,yes,no,cellular,20,nov,425,2,-1,0,unknown,no
31,self-employed,married,secondary,no,581,yes,no,cellular,13,oct,845,1,152,6,failure,no
29,management,single,tertiary,no,697,no,no,cellular,4,feb,206,1,-1,0,unknown,yes
32,technician,single,secondary,no,324,no,yes,cellular,23,feb,432,1,-1,0,unknown,yes
56,management,married,primary,no,7747,no,no,unknown,5,jun,103,2,-1,0,unknown,no
48,blue-collar,married,primary,no,-254,no,yes,cellular,29,aug,134,4,-1,0,unknown,no
60,retired,divorced,primary,no,-79,yes,yes,cellular,29,jan,192,1,-1,0,unknown,no
54,management,married,tertiary,no,184,no,no,cellular,6,feb,13,6,-1,0,unknown,no
29,blue-collar,married,secondary,no,294,yes,no,unknown,14,may,594,2,-1,0,unknown,no
51,admin.,divorced,secondary,no,340,yes,no,unknown,8,may,186,1,-1,0,unknown,no
28,admin.,single,secondary,no,520,yes,no,cellular,15,jun,29,1,-1,0,unknown,no
50,entrepreneur,married,primary,no,461,yes,no,unknown,15,may,651,32,-1,0,unknown,yes
52,management,married,tertiary,no,2428,yes,no,cellular,21,nov,294,1,116,3,failure,no
63,entrepreneur,married,secondary,no,3904,no,no,telephone,8,nov,360,1,96,4,success,yes
33,technician,single,tertiary,no,34,no,no,cellular,28,aug,13,30,-1,0,unknown,no
36,management,married,tertiary,no,1133,yes,no,cellular,4,aug,293,1,181,2,other,yes
23,student,single,secondary,no,107,no,no,cellular,14,oct,84,1,183,1,success,yes
58,retired,divorced,tertiary,no,3237,no,no,telephone,31,oct,615,1,-1,0,unknown,yes
42,technician,divorced,secondary,no,0,yes,no,unknown,28,may,471,2,-1,0,unknown,no
46,management,divorced,tertiary,no,624,no,no,cellular,18,mar,420,1,276,1,other,yes
36,services,single,secondary,no,9713,yes,no,unknown,27,may,72,3,-1,0,unknown,no
36,technician,single,secondary,no,376,no,no,cellular,13,aug,479,1,-1,0,unknown,yes
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,jun,88,4,-1,0,unknown,no
27,self-employed,married,secondary,yes,254,yes,yes,cellular,29,jan,194,1,188,1,failure,no
48,retired,married,tertiary,no,4,no,yes,cellular,23,jul,70,5,-1,0,unknown,no
31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success,yes
45,blue-collar,married,primary,no,700,yes,no,telephone,13,may,29,4,-1,0,unknown,no
40,technician,single,secondary,no,360,yes,no,unknown,9,may,73,1,-1,0,unknown,no
36,technician,married,secondary,no,432,yes,no,cellular,11,may,61,3,255,2,failure,no
36,technician,married,tertiary,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,10,aug,290,1,-1,0,unknown,yes
30,blue-collar,single,primary,no,185,no,no,unknown,26,jun,11,1,-1,0,unknown,no
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes
35,management,single,tertiary,no,1750,yes,no,cellular,22,oct,422,1,175,4,success,no
26,blue-collar,married,secondary,no,5795,yes,no,cellular,14,may,1094,2,-1,0,unknown,yes
31,blue-collar,married,secondary,no,892,yes,no,cellular,29,jul,25,22,-1,0,unknown,no
36,management,married,tertiary,no,4,no,yes,cellular,29,jul,261,6,-1,0,unknown,no
34,technician,married,secondary,no,883,no,no,telephone,3,feb,166,2,173,3,failure,no
40,admin.,married,secondary,no,732,no,no,cellular,9,sep,71,1,139,4,success,no
32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,unknown,yes
29,technician,single,secondary,no,5763,no,yes,cellular,5,jun,271,2,92,2,success,no
47,unemployed,married,primary,no,324,no,no,cellular,21,nov,462,2,-1,0,unknown,yes
46,student,single,unknown,no,1527,no,no,cellular,8,sep,358,3,184,1,success,yes
27,technician,single,secondary,no,3933,no,no,cellular,28,jul,837,3,-1,0,unknown,yes
43,technician,divorced,tertiary,no,101,no,no,cellular,19,aug,173,3,-1,0,unknown,no
46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,yes
43,management,single,tertiary,no,0,no,no,cellular,30,jun,275,2,296,1,failure,yes
30,management,married,tertiary,no,1239,no,no,cellular,28,aug,125,5,-1,0,unknown,no
44,technician,married,secondary,no,267,no,no,cellular,22,aug,520,2,-1,0,unknown,yes
25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown,yes
31,services,single,secondary,no,91,yes,no,cellular,18,may,111,2,-1,0,unknown,no
32,technician,single,secondary,no,483,yes,yes,cellular,18,may,35,6,-1,0,unknown,no
31,management,single,tertiary,no,-160,yes,no,unknown,28,may,202,2,-1,0,unknown,no
54,technician,divorced,secondary,no,859,no,yes,cellular,21,jul,710,1,-1,0,unknown,yes
52,technician,married,secondary,no,195,yes,no,cellular,18,feb,220,1,63,5,failure,yes
37,management,married,tertiary,no,636,no,yes,unknown,5,jun,338,2,-1,0,unknown,no
57,admin.,divorced,secondary,no,3100,no,yes,cellular,29,jul,165,2,-1,0,unknown,no
43,services,married,secondary,no,2478,yes,no,cellular,28,jan,347,1,230,1,failure,no
57,unemployed,married,secondary,no,890,no,no,cellular,5,feb,343,4,-1,0,unknown,no
41,services,married,tertiary,no,881,no,no,cellular,30,oct,257,3,-1,0,unknown,yes
30,management,single,tertiary,no,2766,yes,yes,cellular,20,nov,244,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,771,yes,yes,unknown,19,jun,254,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,496,yes,no,cellular,13,may,333,1,-1,0,unknown,yes
48,services,divorced,primary,no,-110,no,yes,unknown,19,jun,164,2,-1,0,unknown,no
24,self-employed,single,tertiary,no,931,yes,no,unknown,28,may,200,4,-1,0,unknown,no
55,management,married,tertiary,no,86,no,no,telephone,16,jun,64,1,-1,0,unknown,no
41,technician,single,primary,no,340,yes,no,cellular,13,may,262,1,349,1,failure,no
43,management,married,tertiary,no,79,no,no,cellular,26,may,640,1,-1,0,unknown,yes
43,admin.,married,secondary,no,2682,no,no,cellular,30,jul,103,8,-1,0,unknown,no
52,retired,married,tertiary,no,350,no,yes,cellular,9,jul,156,1,-1,0,unknown,no
56,admin.,married,secondary,no,1694,no,no,cellular,21,aug,793,10,-1,0,unknown,yes
29,management,married,tertiary,no,16,yes,no,cellular,16,jul,605,6,-1,0,unknown,no
56,technician,single,secondary,no,3499,yes,no,unknown,29,may,248,3,-1,0,unknown,no
23,technician,single,secondary,no,4545,no,no,cellular,3,jun,200,1,-1,0,unknown,no
29,admin.,married,tertiary,no,332,no,no,cellular,9,apr,179,1,-1,0,unknown,yes
41,services,single,secondary,no,92,no,no,cellular,21,nov,372,1,-1,0,unknown,yes
76,housemaid,divorced,primary,no,1411,no,no,telephone,15,apr,170,3,-1,0,unknown,yes
47,technician,single,secondary,no,-239,yes,yes,cellular,7,jul,973,3,-1,0,unknown,yes
42,management,divorced,secondary,no,-272,no,no,cellular,8,jul,186,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,0,yes,no,cellular,19,nov,330,2,-1,0,unknown,no
45,admin.,divorced,secondary,no,-176,no,yes,cellular,7,jul,574,1,-1,0,unknown,yes
31,management,married,tertiary,no,1032,no,no,cellular,7,jul,284,1,-1,0,unknown,yes
36,management,married,tertiary,no,-547,yes,no,cellular,30,apr,267,1,259,2,failure,no
31,management,single,tertiary,no,2384,yes,no,cellular,14,apr,608,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,665,no,no,cellular,18,aug,885,3,-1,0,unknown,no
43,services,divorced,secondary,no,130,yes,no,unknown,8,may,193,1,-1,0,unknown,no
55,services,married,unknown,no,2944,no,no,cellular,27,aug,672,6,-1,0,unknown,yes
49,entrepreneur,married,tertiary,no,4976,yes,no,cellular,21,nov,105,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,189,no,yes,cellular,8,jul,687,2,-1,0,unknown,yes
28,management,single,tertiary,no,150,yes,no,unknown,8,may,491,1,-1,0,unknown,no
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown,yes
42,technician,single,secondary,no,0,yes,no,unknown,6,may,293,1,-1,0,unknown,no
54,housemaid,married,primary,no,212,no,no,cellular,12,aug,81,4,-1,0,unknown,no
63,retired,divorced,primary,no,109,no,no,cellular,10,nov,406,2,-1,0,unknown,yes
31,blue-collar,married,secondary,no,64,yes,no,cellular,18,jul,302,3,-1,0,unknown,no
70,retired,married,secondary,no,2575,no,no,telephone,20,apr,216,2,-1,0,unknown,yes
38,management,single,tertiary,no,2117,no,no,cellular,14,aug,81,2,-1,0,unknown,no
31,management,married,tertiary,no,0,yes,yes,cellular,28,jul,664,8,-1,0,unknown,yes
49,blue-collar,divorced,secondary,yes,259,no,no,unknown,16,may,283,2,-1,0,unknown,no
28,blue-collar,single,primary,no,54,yes,no,cellular,14,may,533,1,371,1,other,yes
60,retired,divorced,tertiary,no,439,no,yes,cellular,25,may,464,1,321,1,failure,yes
29,admin.,single,tertiary,no,41,yes,no,cellular,13,aug,148,2,-1,0,unknown,yes
30,services,single,secondary,no,-271,yes,no,cellular,7,may,609,1,337,1,success,yes
54,housemaid,divorced,tertiary,no,9,no,yes,cellular,29,jul,136,3,-1,0,unknown,no
52,self-employed,married,secondary,no,517,no,no,cellular,26,aug,77,4,-1,0,unknown,no
82,retired,married,primary,no,8603,no,no,cellular,7,jul,429,1,-1,0,unknown,yes
43,technician,single,secondary,no,34,no,no,telephone,30,jul,29,1,-1,0,unknown,no
33,services,single,secondary,no,2881,no,no,cellular,26,may,289,1,328,1,success,yes
49,retired,married,unknown,no,247,no,no,unknown,15,may,213,2,-1,0,unknown,no
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,207,1,-1,0,unknown,yes
32,technician,single,tertiary,no,4071,no,no,cellular,30,jun,319,2,-1,0,unknown,yes
33,technician,single,secondary,no,2583,no,no,cellular,25,may,241,1,108,1,failure,no
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes
48,blue-collar,married,primary,no,1670,no,no,unknown,17,jun,145,1,-1,0,unknown,no
54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
38,housemaid,married,secondary,no,110,no,no,cellular,25,may,167,1,-1,0,unknown,no
50,self-employed,married,tertiary,no,1503,no,no,cellular,27,aug,128,12,-1,0,unknown,no
38,management,married,tertiary,no,0,no,no,cellular,28,aug,77,18,-1,0,unknown,no
33,management,single,tertiary,no,541,yes,yes,unknown,21,may,572,1,-1,0,unknown,no
42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,feb,446,1,-1,0,unknown,no
80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,yes
36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,722,3,-1,0,unknown,yes
34,services,married,secondary,no,-315,yes,no,unknown,8,may,56,2,-1,0,unknown,no
47,housemaid,divorced,secondary,no,1453,no,no,unknown,12,jun,303,1,-1,0,unknown,no
36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,yes
27,management,married,tertiary,no,802,no,no,cellular,22,sep,569,1,-1,0,unknown,yes
39,blue-collar,married,secondary,no,39,yes,no,unknown,18,jun,34,6,-1,0,unknown,no
47,housemaid,married,secondary,no,582,no,no,cellular,13,aug,73,1,-1,0,unknown,no
28,admin.,single,secondary,no,1076,yes,no,unknown,2,jun,537,5,-1,0,unknown,no
44,technician,married,secondary,no,2776,yes,no,cellular,27,jan,701,1,-1,0,unknown,yes
36,management,divorced,tertiary,no,59,no,no,cellular,13,aug,526,2,-1,0,unknown,yes
38,services,married,secondary,no,797,yes,no,cellular,20,apr,62,4,-1,0,unknown,no
35,admin.,married,secondary,no,3854,yes,no,cellular,5,may,131,1,-1,0,unknown,no
52,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no
46,management,single,secondary,no,244,yes,no,unknown,15,may,244,1,-1,0,unknown,no
25,management,single,tertiary,no,3,yes,yes,cellular,16,apr,1034,1,-1,0,unknown,yes
55,management,married,tertiary,no,568,no,no,cellular,12,aug,940,10,-1,0,unknown,yes
41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,611,2,-1,0,unknown,yes
37,admin.,married,tertiary,no,2741,no,no,unknown,16,jun,204,4,-1,0,unknown,no
40,services,married,secondary,no,471,yes,no,cellular,24,jul,430,4,-1,0,unknown,yes
38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
55,retired,divorced,secondary,no,-268,no,yes,cellular,24,jul,1417,1,-1,0,unknown,yes
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
34,admin.,married,secondary,no,247,no,no,cellular,8,oct,401,2,-1,0,unknown,yes
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,yes
54,management,married,tertiary,no,284,yes,yes,telephone,15,may,65,5,-1,0,unknown,no
77,retired,married,secondary,no,4112,no,no,telephone,26,jan,1616,1,95,2,success,yes
39,management,married,tertiary,no,0,yes,yes,cellular,17,jul,301,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,879,yes,no,cellular,18,nov,140,1,-1,0,unknown,no
79,retired,married,secondary,no,668,no,no,telephone,2,jul,363,1,-1,0,unknown,yes
46,blue-collar,married,secondary,no,640,yes,no,cellular,12,mar,215,1,182,4,success,yes
36,services,single,secondary,no,0,yes,no,cellular,15,may,1002,4,-1,0,unknown,yes
30,management,single,tertiary,no,2708,no,no,cellular,19,nov,479,1,-1,0,unknown,no
41,blue-collar,divorced,secondary,no,3,yes,no,cellular,31,jul,228,4,-1,0,unknown,no
50,management,married,tertiary,no,6739,yes,no,cellular,14,jul,68,3,-1,0,unknown,no
57,entrepreneur,married,primary,no,1153,yes,yes,unknown,9,jun,238,6,-1,0,unknown,no
53,self-employed,married,secondary,no,534,yes,no,cellular,29,jul,115,4,-1,0,unknown,no
35,management,married,tertiary,no,354,no,yes,cellular,9,feb,117,4,12,2,other,no
58,unknown,married,unknown,no,1547,no,no,telephone,5,aug,1186,4,-1,0,unknown,yes
31,blue-collar,single,tertiary,no,328,yes,no,cellular,14,may,414,1,175,1,failure,no
35,technician,married,secondary,no,0,yes,no,cellular,6,apr,139,1,-1,0,unknown,no
26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,-1,0,unknown,yes
29,management,single,tertiary,no,265,no,no,cellular,24,aug,130,2,94,1,success,yes
40,blue-collar,married,primary,no,104,yes,no,unknown,26,may,470,2,-1,0,unknown,no
55,management,married,tertiary,no,7803,no,no,cellular,15,jan,441,1,-1,0,unknown,yes
40,unemployed,single,tertiary,no,79,no,no,cellular,15,oct,570,1,135,1,failure,yes
34,blue-collar,single,secondary,no,186,no,no,cellular,2,feb,342,1,-1,0,unknown,no
49,management,divorced,tertiary,no,1904,no,yes,cellular,17,nov,131,2,-1,0,unknown,no
44,technician,single,secondary,no,365,yes,no,unknown,8,may,169,2,-1,0,unknown,no
39,technician,single,secondary,no,556,yes,no,unknown,29,may,322,1,-1,0,unknown,no
32,management,single,tertiary,no,935,no,no,cellular,9,nov,165,1,91,7,success,yes
46,technician,married,secondary,no,1353,no,no,cellular,18,aug,528,5,-1,0,unknown,yes
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes
40,management,single,tertiary,no,1361,no,no,cellular,29,jan,1473,1,-1,0,unknown,yes
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
35,management,married,tertiary,no,1380,no,no,cellular,23,feb,155,1,-1,0,unknown,yes
26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,unknown,yes
34,housemaid,married,tertiary,no,897,no,no,cellular,12,aug,197,4,-1,0,unknown,no
35,technician,married,secondary,no,249,no,no,cellular,21,aug,205,8,-1,0,unknown,no
24,admin.,single,secondary,no,1295,no,no,cellular,21,apr,476,1,-1,0,unknown,yes
66,housemaid,married,primary,no,1230,no,no,cellular,16,jun,288,6,181,3,success,yes
52,blue-collar,single,secondary,no,1541,yes,no,unknown,14,may,243,1,-1,0,unknown,no
43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success,yes
55,retired,married,tertiary,no,357,yes,no,cellular,30,apr,878,1,-1,0,unknown,no
31,student,single,secondary,no,3511,no,no,cellular,2,jul,667,1,-1,0,unknown,yes
59,retired,married,primary,no,0,yes,no,cellular,28,jul,20,4,-1,0,unknown,no
46,blue-collar,married,secondary,no,137,no,no,unknown,20,jun,252,3,-1,0,unknown,no
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,1,367,1,success,yes
34,technician,single,secondary,no,194,yes,yes,cellular,15,may,1015,1,-1,0,unknown,yes
56,blue-collar,married,unknown,no,260,yes,no,telephone,30,jul,250,2,-1,0,unknown,no
26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,-1,0,unknown,yes
46,admin.,divorced,secondary,no,2087,no,no,cellular,20,nov,768,3,-1,0,unknown,yes
33,technician,married,secondary,no,133,no,no,cellular,4,may,218,1,-1,0,unknown,yes
44,admin.,single,secondary,no,4492,no,yes,cellular,31,jul,19,13,-1,0,unknown,no
59,management,married,tertiary,no,553,yes,no,cellular,7,jul,1272,3,-1,0,unknown,yes
53,technician,married,tertiary,no,673,yes,no,cellular,9,jul,182,1,-1,0,unknown,no
27,services,married,secondary,no,94,yes,no,unknown,15,may,352,2,-1,0,unknown,no
42,admin.,married,secondary,no,437,yes,no,cellular,11,aug,120,3,190,1,failure,no
52,entrepreneur,married,primary,no,-104,no,yes,cellular,10,jul,124,1,-1,0,unknown,no
39,technician,married,tertiary,no,11766,yes,no,cellular,14,aug,313,4,102,5,failure,no
35,technician,married,secondary,no,4508,yes,no,cellular,18,nov,854,1,-1,0,unknown,yes
60,retired,married,secondary,no,5267,no,no,cellular,4,sep,520,1,-1,0,unknown,yes
52,technician,married,tertiary,no,876,no,no,cellular,4,may,601,3,-1,0,unknown,yes
34,blue-collar,single,unknown,no,129,yes,yes,cellular,16,nov,295,1,200,2,success,yes
27,technician,single,secondary,no,16,no,no,unknown,19,may,193,1,-1,0,unknown,no
63,blue-collar,married,primary,no,115,no,no,telephone,27,apr,325,1,180,7,failure,yes
60,housemaid,married,primary,no,352,no,yes,unknown,17,jun,81,2,-1,0,unknown,no
34,services,married,secondary,no,1182,yes,no,unknown,28,may,124,1,-1,0,unknown,no
59,unemployed,married,secondary,no,1625,no,no,cellular,4,aug,198,1,180,2,success,yes
48,management,married,tertiary,no,20718,yes,no,unknown,14,may,125,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-253,yes,no,cellular,12,may,89,3,-1,0,unknown,no
38,housemaid,divorced,secondary,no,70,no,no,cellular,27,jan,164,4,92,4,success,yes
29,services,married,secondary,no,1386,yes,no,unknown,28,may,166,1,-1,0,unknown,no
50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,-1,0,unknown,yes
41,technician,divorced,secondary,no,1631,yes,no,cellular,12,aug,173,2,-1,0,unknown,no
41,blue-collar,married,secondary,no,4910,yes,no,cellular,3,apr,1090,1,-1,0,unknown,no
24,admin.,married,secondary,no,0,yes,no,cellular,16,apr,284,1,-1,0,unknown,no
37,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46,1,-1,0,unknown,no
31,technician,married,tertiary,no,0,no,no,cellular,29,aug,70,2,-1,0,unknown,no
40,blue-collar,divorced,unknown,no,528,yes,no,cellular,13,may,340,2,357,5,failure,no
35,management,married,secondary,no,97,yes,no,unknown,29,may,135,4,-1,0,unknown,no
31,blue-collar,married,primary,no,-199,yes,yes,telephone,12,may,149,5,299,10,failure,no
45,management,single,tertiary,no,2067,yes,no,cellular,13,aug,393,2,462,1,success,yes
40,blue-collar,married,unknown,no,1181,yes,no,cellular,4,feb,718,2,189,2,success,yes
55,management,married,secondary,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown,no
41,technician,single,secondary,no,650,yes,no,cellular,20,nov,2420,3,-1,0,unknown,yes
57,housemaid,divorced,primary,no,0,no,no,unknown,9,jun,97,1,-1,0,unknown,no
