age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
18,student,single,unknown,no,348,no,no,cellular,5,may,443,4,-1,0,unknown,yes
43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,-1,0,unknown,yes
63,management,married,tertiary,no,2785,no,no,cellular,2,aug,341,2,392,3,success,yes
40,admin.,married,secondary,no,767,yes,no,cellular,6,feb,168,1,-1,0,unknown,no
30,management,single,tertiary,no,1191,no,no,cellular,11,aug,381,4,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,973,no,no,cellular,14,may,449,1,-1,0,unknown,yes
79,retired,married,secondary,no,8304,no,no,telephone,9,mar,303,9,-1,0,unknown,yes
25,services,single,secondary,no,382,yes,no,unknown,13,may,392,1,-1,0,unknown,no
26,admin.,married,secondary,no,1595,no,no,cellular,15,jun,155,1,105,1,failure,yes
61,retired,married,primary,no,197,no,no,cellular,17,feb,113,1,-1,0,unknown,yes
68,retired,married,tertiary,no,2812,no,no,cellular,3,feb,279,2,181,1,failure,yes
65,retired,married,tertiary,no,1973,no,no,telephone,21,apr,396,3,-1,0,unknown,yes
43,management,divorced,tertiary,no,2367,no,no,cellular,1,jun,114,1,38,2,other,yes
35,blue-collar,married,secondary,no,0,yes,no,cellular,9,jul,277,1,-1,0,unknown,no
48,management,married,secondary,no,0,yes,yes,cellular,3,nov,1233,1,351,2,failure,yes
61,management,married,tertiary,no,3371,no,no,cellular,28,sep,299,2,-1,0,unknown,yes
31,technician,married,secondary,no,465,yes,no,cellular,12,may,259,3,-1,0,unknown,no
31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,1,-1,0,unknown,yes
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes
50,technician,married,tertiary,no,3117,no,no,cellular,20,nov,44,2,164,1,failure,no
48,admin.,married,secondary,no,112,no,no,cellular,18,aug,139,5,-1,0,unknown,no
32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown,yes
58,admin.,married,secondary,no,1464,yes,yes,unknown,5,jun,53,29,-1,0,unknown,no
47,self-employed,married,tertiary,no,192,no,no,telephone,30,jul,120,6,-1,0,unknown,no
47,blue-collar,married,primary,no,328,yes,no,cellular,7,may,58,1,-1,0,unknown,no
47,blue-collar,divorced,primary,no,603,yes,yes,cellular,8,may,1080,1,-1,0,unknown,yes
32,technician,divorced,tertiary,no,3255,no,no,cellular,29,jun,167,2,-1,0,unknown,yes
64,retired,married,tertiary,no,2139,no,no,cellular,14,oct,632,2,-1,0,unknown,no
26,admin.,married,secondary,no,1417,yes,no,unknown,6,jun,60,3,-1,0,unknown,no
45,blue-collar,married,primary,no,804,yes,no,unknown,16,may,528,1,-1,0,unknown,yes
53,self-employed,married,tertiary,no,20,yes,no,cellular,7,aug,218,2,-1,0,unknown,no
30,admin.,single,secondary,no,127,yes,no,cellular,18,may,16,6,368,1,other,no
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes
38,blue-collar,divorced,primary,no,0,yes,no,cellular,13,may,531,2,-1,0,unknown,yes
35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,-1,0,unknown,yes
43,technician,married,secondary,no,1358,no,no,cellular,10,mar,159,3,-1,0,unknown,yes
36,management,married,tertiary,no,1352,no,no,unknown,19,jun,2028,1,-1,0,unknown,yes
54,entrepreneur,married,tertiary,no,84,no,no,cellular,29,jul,34,2,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
28,technician,single,tertiary,no,375,yes,no,cellular,14,may,43,1,350,1,other,no
26,admin.,single,secondary,no,1099,no,no,cellular,15,jan,99,2,225,13,other,no
27,services,married,secondary,no,1,no,no,cellular,29,jan,528,3,-1,0,unknown,no
30,management,single,tertiary,no,115,no,no,cellular,12,aug,154,2,-1,0,unknown,no
39,technician,single,secondary,no,1435,no,no,cellular,17,jun,383,1,296,19,other,yes
50,technician,married,secondary,no,1717,no,no,telephone,7,jul,416,8,-1,0,unknown,no
57,housemaid,married,primary,no,1969,no,no,cellular,14,aug,286,3,-1,0,unknown,no
59,self-employed,married,tertiary,no,2013,no,no,cellular,17,nov,409,2,-1,0,unknown,yes
32,technician,married,secondary,no,484,yes,no,cellular,15,feb,83,6,187,3,success,yes
56,management,married,tertiary,no,412,no,no,telephone,20,nov,179,6,-1,0,unknown,no
51,self-employed,married,secondary,no,44,yes,yes,telephone,21,jul,79,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,262,no,no,cellular,15,mar,427,1,181,3,success,yes
31,technician,single,secondary,no,354,no,yes,cellular,22,aug,186,2,-1,0,unknown,no
46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,no
46,admin.,divorced,secondary,no,3201,yes,no,telephone,13,may,157,3,-1,0,unknown,no
37,management,married,tertiary,no,393,yes,no,cellular,12,aug,62,2,104,2,success,no
46,blue-collar,married,primary,no,1085,yes,yes,cellular,15,may,523,2,353,58,other,yes
54,management,divorced,tertiary,no,-449,yes,no,cellular,14,may,691,1,-1,0,unknown,yes
53,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343,4,-1,0,unknown,no
49,technician,married,secondary,no,412,no,no,cellular,19,aug,1293,8,-1,0,unknown,yes
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes
31,management,single,tertiary,no,30,no,no,cellular,8,aug,161,2,-1,0,unknown,no
29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes
42,management,married,tertiary,no,976,no,no,cellular,19,aug,164,1,-1,0,unknown,yes
35,technician,single,tertiary,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
50,technician,divorced,secondary,no,-298,yes,no,cellular,6,feb,68,8,-1,0,unknown,no
36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
52,unemployed,married,secondary,no,94,no,no,cellular,10,nov,293,3,190,10,failure,yes
72,retired,divorced,tertiary,no,438,no,no,cellular,23,feb,279,1,-1,0,unknown,yes
36,management,single,tertiary,no,0,no,yes,cellular,18,nov,300,1,96,4,failure,no
76,retired,married,secondary,no,4112,no,no,telephone,23,oct,282,2,-1,0,unknown,yes
33,self-employed,single,tertiary,no,562,yes,yes,cellular,6,apr,196,1,363,1,failure,yes
49,blue-collar,married,primary,no,361,yes,no,unknown,16,jun,513,2,-1,0,unknown,yes
39,blue-collar,married,secondary,no,3832,yes,no,unknown,20,jun,14,13,-1,0,unknown,no
37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,2,-1,0,unknown,yes
52,management,single,tertiary,no,741,no,no,cellular,7,aug,63,2,-1,0,unknown,no
66,management,married,unknown,no,2149,yes,no,cellular,26,may,135,2,90,11,success,yes
24,student,single,secondary,no,387,no,no,telephone,4,may,340,8,-1,0,unknown,yes
46,blue-collar,married,secondary,no,1144,yes,no,cellular,8,feb,376,2,129,3,other,yes
39,housemaid,married,primary,no,267,no,no,unknown,9,jun,1151,5,-1,0,unknown,no
54,technician,married,secondary,no,3323,yes,yes,cellular,8,apr,59,3,-1,0,unknown,no
33,technician,single,secondary,no,719,yes,no,cellular,9,apr,448,2,316,6,failure,yes
29,unemployed,single,primary,no,550,no,no,cellular,29,jan,801,1,-1,0,unknown,yes
44,management,married,tertiary,no,17361,no,no,unknown,18,jun,476,1,-1,0,unknown,no
53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,727,4,-1,0,unknown,yes
48,technician,married,secondary,no,759,yes,no,cellular,28,jul,84,5,-1,0,unknown,no
37,admin.,married,secondary,no,1049,no,no,cellular,31,jul,126,5,-1,0,unknown,no
47,unemployed,divorced,secondary,no,947,no,no,cellular,5,feb,124,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,2509,no,no,telephone,22,may,231,2,-1,0,unknown,yes
43,technician,divorced,secondary,no,6835,no,no,unknown,20,jun,262,2,-1,0,unknown,no
77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,1,-1,0,unknown,yes
29,technician,single,secondary,no,674,no,no,cellular,17,apr,170,5,-1,0,unknown,yes
31,technician,single,secondary,no,40,no,no,cellular,7,aug,123,2,-1,0,unknown,no
55,management,married,tertiary,no,13578,no,no,cellular,29,oct,247,2,-1,0,unknown,no
48,entrepreneur,married,secondary,no,183,yes,no,unknown,3,jun,203,9,-1,0,unknown,no
30,unemployed,married,tertiary,no,330,no,no,cellular,14,apr,111,1,-1,0,unknown,yes
28,admin.,single,secondary,no,0,yes,yes,cellular,18,may,390,5,-1,0,unknown,yes
51,technician,married,secondary,no,216,no,no,cellular,7,jul,615,2,-1,0,unknown,yes
78,retired,married,primary,no,680,no,no,telephone,24,may,838,1,89,9,failure,no
35,management,married,tertiary,no,750,yes,no,cellular,18,aug,233,12,-1,0,unknown,no
43,management,single,tertiary,no,0,no,no,cellular,11,aug,155,2,-1,0,unknown,no
56,services,married,unknown,no,616,no,no,unknown,18,jun,1812,1,-1,0,unknown,no
34,admin.,single,tertiary,no,458,yes,no,unknown,20,may,211,1,-1,0,unknown,no
51,retired,married,primary,no,610,no,no,unknown,9,jun,86,2,-1,0,unknown,no
46,management,married,tertiary,no,349,no,no,cellular,15,feb,295,2,616,1,failure,yes
59,management,divorced,tertiary,no,258,yes,no,telephone,29,oct,266,1,-1,0,unknown,yes
53,housemaid,married,primary,no,1903,no,no,unknown,5,jun,827,1,-1,0,unknown,no
26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
27,management,single,tertiary,no,20585,no,no,cellular,23,sep,299,1,100,1,success,yes
37,technician,married,tertiary,no,247,no,no,cellular,20,aug,625,6,-1,0,unknown,yes
53,unemployed,married,primary,no,980,yes,no,cellular,3,dec,352,1,-1,0,unknown,yes
45,admin.,married,secondary,no,111,yes,no,cellular,11,aug,173,1,-1,0,unknown,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes
29,management,single,tertiary,no,502,no,no,cellular,8,jul,968,1,87,5,failure,yes
31,technician,single,secondary,no,4888,yes,no,telephone,5,may,475,4,166,2,failure,no
39,management,married,tertiary,no,-468,yes,yes,cellular,8,aug,88,2,-1,0,unknown,no
68,retired,married,secondary,no,1316,no,no,telephone,4,mar,92,5,-1,0,unknown,no
32,blue-collar,single,secondary,no,435,yes,no,unknown,21,may,373,2,-1,0,unknown,no
52,management,married,tertiary,no,1227,no,no,cellular,22,aug,1123,4,-1,0,unknown,yes
55,technician,married,tertiary,no,1320,no,no,cellular,28,jul,340,1,91,2,success,yes
34,management,married,tertiary,no,1778,no,no,cellular,4,nov,358,1,162,2,failure,yes
32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,-1,0,unknown,yes
36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,failure,no
30,services,married,secondary,no,292,yes,yes,cellular,15,apr,651,4,-1,0,unknown,no
35,management,single,tertiary,no,995,no,no,cellular,5,feb,39,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,61,yes,no,cellular,11,feb,253,1,174,4,success,yes
34,admin.,married,secondary,no,1474,no,no,cellular,2,apr,739,2,-1,0,unknown,yes
37,technician,married,secondary,no,494,yes,no,cellular,2,feb,247,2,269,3,failure,no
47,management,married,tertiary,no,2351,no,no,cellular,10,mar,80,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes
31,technician,single,tertiary,no,1081,no,no,cellular,24,apr,202,5,261,2,failure,yes
38,management,married,tertiary,no,536,yes,no,cellular,22,jul,248,1,-1,0,unknown,yes
72,retired,married,secondary,no,1978,no,no,cellular,6,sep,312,1,-1,0,unknown,yes
40,blue-collar,divorced,primary,no,54,yes,no,cellular,13,may,10,5,362,3,other,no
45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,-1,0,unknown,yes
27,entrepreneur,married,secondary,no,2329,no,no,telephone,27,oct,131,1,-1,0,unknown,yes
32,student,married,secondary,no,833,yes,no,telephone,2,nov,227,5,164,3,other,no
27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes
31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,13,aug,703,2,-1,0,unknown,yes
33,services,married,secondary,no,227,yes,yes,cellular,13,aug,477,2,-1,0,unknown,yes
34,technician,divorced,tertiary,no,66,no,yes,cellular,5,feb,102,1,170,2,failure,no
46,services,divorced,secondary,no,281,yes,yes,cellular,6,may,267,1,-1,0,unknown,no
38,technician,married,secondary,no,381,yes,no,unknown,29,may,126,2,-1,0,unknown,no
32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,2,160,5,other,yes
28,blue-collar,single,secondary,no,39,no,no,cellular,31,jul,22,7,-1,0,unknown,no
28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
29,technician,single,secondary,no,825,no,no,cellular,25,jun,472,2,-1,0,unknown,yes
45,admin.,married,secondary,no,6971,no,no,cellular,22,may,119,1,-1,0,unknown,no
35,self-employed,single,tertiary,no,353,no,no,cellular,12,aug,582,1,-1,0,unknown,yes
32,technician,single,secondary,no,483,no,no,cellular,8,aug,580,3,-1,0,unknown,yes
31,management,married,tertiary,no,1224,yes,yes,cellular,20,nov,75,2,119,2,success,no
35,management,married,tertiary,no,2161,no,no,cellular,9,mar,139,2,181,3,success,yes
39,management,married,tertiary,no,839,no,yes,cellular,11,oct,365,2,774,11,failure,no
31,management,single,tertiary,no,307,no,no,cellular,21,nov,86,2,-1,0,unknown,no
29,technician,single,secondary,no,510,yes,no,unknown,16,jun,179,15,-1,0,unknown,no
59,services,married,secondary,no,2965,yes,no,cellular,13,may,1970,3,-1,0,unknown,yes
46,housemaid,married,secondary,no,38,no,no,cellular,25,nov,541,1,-1,0,unknown,yes
23,technician,single,secondary,no,598,no,no,cellular,11,nov,406,1,195,1,failure,yes
29,admin.,single,secondary,no,27,yes,no,cellular,6,may,754,1,-1,0,unknown,yes
32,admin.,married,secondary,no,0,yes,no,cellular,30,apr,177,2,-1,0,unknown,yes
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,yes
33,technician,single,tertiary,no,1636,yes,no,cellular,27,feb,165,1,-1,0,unknown,yes
33,services,divorced,secondary,no,1117,no,no,cellular,2,jun,417,1,-1,0,unknown,yes
37,management,divorced,secondary,no,1655,yes,no,cellular,12,may,178,1,175,2,failure,no
27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,unknown,no
47,student,single,unknown,no,107,no,no,telephone,15,jul,119,8,-1,0,unknown,no
26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,yes
55,technician,married,unknown,no,574,yes,no,cellular,29,jan,243,2,-1,0,unknown,no
52,services,divorced,secondary,no,36,yes,yes,cellular,11,may,930,1,-1,0,unknown,yes
37,management,single,tertiary,no,2173,no,no,cellular,21,nov,158,3,114,1,failure,no
48,blue-collar,married,primary,yes,-50,yes,no,cellular,14,may,212,6,-1,0,unknown,no
49,admin.,single,tertiary,no,228,yes,no,cellular,2,mar,368,1,-1,0,unknown,yes
54,technician,married,tertiary,no,395,no,no,cellular,30,apr,183,1,183,2,success,yes
30,admin.,single,tertiary,no,305,no,no,cellular,4,feb,227,2,-1,0,unknown,yes
41,management,married,tertiary,no,30,no,no,cellular,19,aug,171,7,-1,0,unknown,no
46,admin.,married,secondary,no,974,no,no,cellular,17,mar,178,1,-1,0,unknown,yes
40,blue-collar,single,secondary,no,82,yes,no,cellular,13,may,135,6,370,5,failure,no
41,technician,single,unknown,no,5372,yes,no,cellular,13,jan,248,3,-1,0,unknown,yes
47,technician,married,secondary,no,568,yes,no,cellular,12,aug,1613,1,-1,0,unknown,yes
31,entrepreneur,divorced,secondary,no,290,yes,no,cellular,13,apr,230,1,-1,0,unknown,no
36,technician,single,secondary,no,1228,yes,no,cellular,4,may,303,3,-1,0,unknown,yes
60,retired,married,secondary,no,7,no,yes,cellular,18,aug,87,5,-1,0,unknown,no
39,technician,married,secondary,no,1965,yes,no,unknown,2,jun,65,1,-1,0,unknown,no
56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,-1,0,unknown,no
30,technician,single,secondary,no,3144,no,no,cellular,19,may,212,2,-1,0,unknown,yes
55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,no
46,blue-collar,married,primary,no,143,yes,no,unknown,7,may,279,1,-1,0,unknown,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,unknown,no
36,management,married,tertiary,no,-861,yes,yes,cellular,28,jul,53,2,-1,0,unknown,no
40,management,single,tertiary,no,0,no,no,cellular,26,aug,58,7,-1,0,unknown,no
61,housemaid,married,primary,no,2580,no,no,cellular,16,sep,270,3,202,7,other,yes
50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,1336,2,-1,0,unknown,yes
29,student,single,unknown,no,7585,no,no,cellular,3,mar,145,2,198,1,failure,yes
56,admin.,married,secondary,no,1554,yes,yes,cellular,6,feb,15,6,190,27,other,no
49,blue-collar,married,secondary,no,-454,yes,no,cellular,14,may,558,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,634,no,no,cellular,29,jan,696,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,2595,yes,yes,cellular,17,apr,126,1,336,2,other,no
51,entrepreneur,single,tertiary,no,0,no,no,cellular,30,jan,643,1,-1,0,unknown,no
39,blue-collar,married,unknown,no,621,yes,no,cellular,20,apr,1333,5,-1,0,unknown,yes
25,management,single,tertiary,no,2305,no,no,cellular,3,feb,207,1,-1,0,unknown,no
51,technician,married,secondary,no,100,no,no,cellular,2,feb,467,2,-1,0,unknown,yes
52,retired,divorced,primary,no,-779,yes,yes,cellular,17,apr,709,1,-1,0,unknown,yes
50,blue-collar,married,primary,no,106,no,no,cellular,12,aug,460,2,-1,0,unknown,no
44,management,married,tertiary,no,126,yes,no,unknown,13,may,92,1,-1,0,unknown,no
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,yes
37,services,single,secondary,no,54,yes,no,cellular,10,jul,118,1,-1,0,unknown,no
43,admin.,married,secondary,no,2,yes,yes,cellular,22,jul,254,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,-159,no,yes,telephone,21,nov,49,1,-1,0,unknown,no
31,management,married,tertiary,no,927,no,no,cellular,18,aug,100,4,-1,0,unknown,no
39,management,divorced,tertiary,no,4692,yes,no,telephone,19,nov,214,2,174,2,success,no
28,self-employed,single,secondary,no,5679,yes,no,cellular,9,feb,701,4,-1,0,unknown,yes
43,unemployed,single,primary,no,698,yes,no,unknown,14,may,322,1,-1,0,unknown,no
33,admin.,married,secondary,no,7,yes,no,cellular,17,apr,612,1,148,1,failure,no
43,unemployed,married,tertiary,no,0,no,no,cellular,16,jul,745,1,281,1,failure,yes
59,retired,married,primary,yes,-13,no,no,cellular,11,aug,77,1,-1,0,unknown,no
19,student,single,unknown,no,779,no,no,cellular,1,apr,184,4,-1,0,unknown,yes
42,retired,married,primary,no,0,yes,no,unknown,8,may,186,2,-1,0,unknown,no
33,services,single,tertiary,no,395,yes,no,cellular,23,jul,1359,6,-1,0,unknown,yes
31,admin.,single,secondary,no,747,yes,no,unknown,26,may,543,2,-1,0,unknown,yes
71,retired,divorced,secondary,no,5584,no,no,cellular,21,aug,534,3,-1,0,unknown,yes
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309,5,success,yes
59,housemaid,married,primary,no,235,no,no,cellular,13,aug,119,2,-1,0,unknown,no
31,admin.,single,secondary,no,-302,yes,yes,unknown,27,may,235,5,-1,0,unknown,no
40,management,married,tertiary,no,9366,no,no,cellular,11,nov,69,3,-1,0,unknown,yes
59,unknown,married,unknown,no,2443,no,no,unknown,20,jun,8,8,-1,0,unknown,no
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes
31,admin.,single,secondary,no,779,yes,yes,cellular,3,apr,219,2,-1,0,unknown,no
22,student,single,secondary,no,0,no,no,cellular,6,feb,229,6,-1,0,unknown,yes
31,services,single,secondary,no,13,no,yes,cellular,6,feb,1019,2,-1,0,unknown,yes
34,blue-collar,single,secondary,no,215,no,no,cellular,5,jun,329,1,94,3,success,no
32,self-employed,single,tertiary,no,2559,no,no,cellular,7,jul,889,1,-1,0,unknown,yes
34,technician,married,secondary,no,0,no,no,cellular,9,jul,628,1,-1,0,unknown,no
26,management,single,tertiary,no,3704,no,no,cellular,19,aug,238,4,-1,0,unknown,yes
50,management,married,tertiary,no,-470,yes,no,cellular,19,nov,130,2,160,1,failure,no
56,retired,married,secondary,no,74,yes,no,unknown,26,may,152,2,-1,0,unknown,no
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,yes
28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,130,3,-1,0,unknown,no
21,student,single,secondary,no,794,no,no,cellular,5,jun,191,1,-1,0,unknown,yes
29,technician,single,secondary,no,1612,yes,no,unknown,26,may,375,2,-1,0,unknown,no
41,blue-collar,divorced,primary,no,664,no,yes,cellular,15,jul,955,5,-1,0,unknown,yes
27,blue-collar,married,secondary,no,0,yes,no,cellular,17,jul,444,6,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,121,yes,no,cellular,5,may,456,1,287,1,failure,no
35,management,single,tertiary,no,123,yes,no,unknown,9,may,83,3,-1,0,unknown,no
38,technician,married,secondary,no,0,yes,yes,cellular,15,jul,146,4,-1,0,unknown,no
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,284,yes,yes,cellular,17,apr,1426,2,318,6,failure,no
34,management,married,tertiary,no,577,yes,no,cellular,20,apr,243,2,153,1,failure,no
57,retired,married,secondary,no,5313,no,no,cellular,3,jun,200,1,-1,0,unknown,yes
57,management,married,secondary,no,7162,no,no,cellular,17,nov,83,1,-1,0,unknown,no
43,management,married,tertiary,no,8,no,no,cellular,11,aug,95,4,-1,0,unknown,no
26,technician,single,secondary,no,0,no,yes,cellular,30,jul,65,26,-1,0,unknown,no
31,management,single,tertiary,no,3384,no,no,cellular,16,sep,153,1,104,2,success,yes
43,services,single,secondary,no,3403,yes,no,cellular,12,nov,707,2,97,2,success,yes
46,unemployed,married,secondary,no,594,no,no,cellular,4,feb,197,2,-1,0,unknown,no
26,management,single,tertiary,no,1720,no,no,cellular,3,feb,383,1,-1,0,unknown,no
42,technician,divorced,secondary,no,248,no,no,cellular,19,aug,163,4,-1,0,unknown,no
30,self-employed,single,secondary,no,-617,no,yes,cellular,19,nov,925,1,-1,0,unknown,yes
31,services,married,secondary,no,428,yes,no,unknown,21,may,272,1,-1,0,unknown,no
43,management,married,tertiary,no,1791,no,no,cellular,5,aug,254,1,-1,0,unknown,yes
52,technician,married,secondary,no,371,yes,yes,cellular,21,apr,224,2,182,1,success,yes
54,management,married,tertiary,no,1014,no,yes,cellular,30,apr,240,1,162,2,failure,yes
63,retired,married,secondary,no,2896,no,no,cellular,4,mar,180,2,-1,0,unknown,yes
41,technician,married,secondary,no,4004,no,no,cellular,17,apr,314,2,-1,0,unknown,yes
32,technician,single,secondary,no,1995,yes,no,cellular,20,apr,121,1,-1,0,unknown,yes
45,self-employed,married,secondary,no,7,no,no,cellular,20,nov,691,1,-1,0,unknown,yes
43,blue-collar,married,primary,no,377,no,yes,unknown,20,jun,11,5,-1,0,unknown,no
32,student,single,tertiary,no,1138,no,no,cellular,4,may,214,3,83,3,success,yes
55,technician,married,secondary,no,517,yes,yes,unknown,19,may,61,4,-1,0,unknown,no
63,retired,married,primary,no,12067,no,no,telephone,29,apr,660,1,191,1,failure,yes
30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no
58,management,married,tertiary,no,0,no,no,cellular,14,sep,358,2,-1,0,unknown,yes
46,blue-collar,divorced,secondary,no,138,no,no,cellular,19,nov,277,1,-1,0,unknown,no
39,management,divorced,tertiary,no,1968,no,no,cellular,21,nov,648,1,-1,0,unknown,yes
47,unknown,married,unknown,no,194,no,no,cellular,4,aug,108,1,-1,0,unknown,no
